7.1370 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x16CFEE50>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=1, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.6010 	EXP 	Created Gray_Square3 = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 0.506,  0.506,  0.506]), fillColorSpace='rgb', fillRGB=array([ 0.506,  0.506,  0.506]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='Gray_Square3', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.6056 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([-1., -1., -1.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
7.6059 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x055400F0>: vertices = array([[-0.3,  0.3],
       [ 0.3,  0.3],
       [ 0.3, -0.3],
       [-0.3, -0.3]])
7.6075 	EXP 	Created Gray_Square = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 0.506,  0.506,  0.506]), fillColorSpace='rgb', fillRGB=array([ 0.506,  0.506,  0.506]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='Gray_Square', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.6189 	EXP 	Created T1_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='T1_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1., -1., -1.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
7.6195 	EXP 	Created T1_Delay = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='T1_Delay', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6296 	EXP 	Created T2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='T2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1., -1., -1.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
7.6299 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x055400F0>: vertices = array([[-0.3,  0.3],
       [ 0.3,  0.3],
       [ 0.3, -0.3],
       [-0.3, -0.3]])
7.6315 	EXP 	Created Gray_Square2 = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 0.506,  0.506,  0.506]), fillColorSpace='rgb', fillRGB=array([ 0.506,  0.506,  0.506]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='Gray_Square2', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.6572 	EXP 	Created X_or_Y = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='X_or_Y', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([-1., -1., -1.]), text='X "[" key\n   or\nY "]" key)?\n', units=u'norm', win=Window(...), wrapWidth=1)
7.7191 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.7389 	EXP 	Imported Blocks.xlsx as conditions, 2 conditions, 4 params
7.7392 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
7.7396 	EXP 	New trial (rep=0, index=0): OrderedDict([('Task_Instructions', u'In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.'), ('Block_type', u'Ignore_T1'), ('Trial_example', u'example1.jpg'), ('TrialNumber', 80)])
7.9718 	EXP 	text: text = u'In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.'
7.9718 	EXP 	text: autoDraw = True
32.8977 	DATA 	Keypress: z
32.9968 	EXP 	text: autoDraw = False
32.9968 	EXP 	image: image = u'example1.jpg'
32.9968 	EXP 	image: autoDraw = True
48.7936 	DATA 	Keypress: slash
48.8267 	EXP 	image: autoDraw = False
48.8267 	EXP 	text_4: autoDraw = True
48.8267 	EXP 	Gray_Square_2: autoDraw = True
51.7860 	EXP 	Created sequence: sequential, trialTypes=1, nReps=80, seed=None
51.7870 	EXP 	New trial (rep=0, index=0): None
51.8028 	EXP 	text_4: autoDraw = False
51.8028 	EXP 	Gray_Square_2: autoDraw = False
51.8028 	EXP 	text_4: autoDraw = False
51.8028 	EXP 	Gray_Square_2: autoDraw = False
51.8028 	EXP 	Gray_Square3: autoDraw = True
51.8028 	EXP 	text_3: autoDraw = True
53.1740 	EXP 	Gray_Square3: autoDraw = False
53.1740 	EXP 	text_3: autoDraw = False
53.1740 	EXP 	Gray_Square3: autoDraw = False
53.1740 	EXP 	text_3: autoDraw = False
53.1740 	EXP 	T1_text: text = 'Y'
53.1740 	EXP 	T2_text: text = '2'
53.1740 	EXP 	Gray_Square: autoDraw = True
53.1740 	EXP 	T1_text: autoDraw = True
53.2733 	EXP 	T1_text: autoDraw = False
53.2906 	EXP 	T1_Delay: autoDraw = True
53.5241 	DATA 	Keypress: z
54.0762 	EXP 	T1_Delay: autoDraw = False
54.0762 	EXP 	T2_text: autoDraw = True
54.9131 	DATA 	Keypress: slash
54.9322 	EXP 	New trial (rep=1, index=0): None
54.9458 	EXP 	Gray_Square: autoDraw = False
54.9458 	EXP 	T1_text: autoDraw = False
54.9458 	EXP 	T1_Delay: autoDraw = False
54.9458 	EXP 	T2_text: autoDraw = False
54.9458 	EXP 	Gray_Square2: autoDraw = False
54.9458 	EXP 	X_or_Y: autoDraw = False
54.9458 	EXP 	Gray_Square3: autoDraw = True
54.9458 	EXP 	text_3: autoDraw = True
56.7340 	EXP 	Gray_Square3: autoDraw = False
56.7340 	EXP 	text_3: autoDraw = False
56.7340 	EXP 	Gray_Square3: autoDraw = False
56.7340 	EXP 	text_3: autoDraw = False
56.7340 	EXP 	T1_text: text = 'Y'
56.7340 	EXP 	T2_text: text = '2'
56.7340 	EXP 	Gray_Square: autoDraw = True
56.7340 	EXP 	T1_text: autoDraw = True
56.8338 	EXP 	T1_text: autoDraw = False
56.8338 	EXP 	T1_Delay: autoDraw = True
57.6362 	EXP 	T1_Delay: autoDraw = False
57.6362 	EXP 	T2_text: autoDraw = True
58.2716 	DATA 	Keypress: slash
58.2745 	EXP 	New trial (rep=2, index=0): None
58.2886 	EXP 	Gray_Square: autoDraw = False
58.2886 	EXP 	T1_text: autoDraw = False
58.2886 	EXP 	T1_Delay: autoDraw = False
58.2886 	EXP 	T2_text: autoDraw = False
58.2886 	EXP 	Gray_Square2: autoDraw = False
58.2886 	EXP 	X_or_Y: autoDraw = False
58.2886 	EXP 	Gray_Square3: autoDraw = True
58.2886 	EXP 	text_3: autoDraw = True
59.9615 	EXP 	Gray_Square3: autoDraw = False
59.9615 	EXP 	text_3: autoDraw = False
59.9615 	EXP 	Gray_Square3: autoDraw = False
59.9615 	EXP 	text_3: autoDraw = False
59.9615 	EXP 	T1_text: text = '#'
59.9615 	EXP 	T2_text: text = '2'
59.9615 	EXP 	Gray_Square: autoDraw = True
59.9615 	EXP 	T1_text: autoDraw = True
60.0602 	EXP 	T1_text: autoDraw = False
60.0775 	EXP 	T1_Delay: autoDraw = True
60.8625 	EXP 	T1_Delay: autoDraw = False
60.8625 	EXP 	T2_text: autoDraw = True
61.2818 	DATA 	Keypress: slash
61.3028 	EXP 	New trial (rep=3, index=0): None
61.3144 	EXP 	Gray_Square: autoDraw = False
61.3144 	EXP 	T1_text: autoDraw = False
61.3144 	EXP 	T1_Delay: autoDraw = False
61.3144 	EXP 	T2_text: autoDraw = False
61.3144 	EXP 	Gray_Square2: autoDraw = False
61.3144 	EXP 	X_or_Y: autoDraw = False
61.3144 	EXP 	Gray_Square3: autoDraw = True
61.3144 	EXP 	text_3: autoDraw = True
62.3675 	EXP 	Gray_Square3: autoDraw = False
62.3675 	EXP 	text_3: autoDraw = False
62.3675 	EXP 	Gray_Square3: autoDraw = False
62.3675 	EXP 	text_3: autoDraw = False
62.3675 	EXP 	T1_text: text = '#'
62.3675 	EXP 	T2_text: text = '1'
62.3675 	EXP 	Gray_Square: autoDraw = True
62.3675 	EXP 	T1_text: autoDraw = True
62.4673 	EXP 	T1_text: autoDraw = False
62.4844 	EXP 	T1_Delay: autoDraw = True
63.2697 	EXP 	T1_Delay: autoDraw = False
63.2697 	EXP 	T2_text: autoDraw = True
63.8560 	DATA 	Keypress: z
63.8616 	EXP 	New trial (rep=4, index=0): None
63.8714 	EXP 	Gray_Square: autoDraw = False
63.8714 	EXP 	T1_text: autoDraw = False
63.8714 	EXP 	T1_Delay: autoDraw = False
63.8714 	EXP 	T2_text: autoDraw = False
63.8714 	EXP 	Gray_Square2: autoDraw = False
63.8714 	EXP 	X_or_Y: autoDraw = False
63.8714 	EXP 	Gray_Square3: autoDraw = True
63.8714 	EXP 	text_3: autoDraw = True
65.3258 	EXP 	Gray_Square3: autoDraw = False
65.3258 	EXP 	text_3: autoDraw = False
65.3258 	EXP 	Gray_Square3: autoDraw = False
65.3258 	EXP 	text_3: autoDraw = False
65.3258 	EXP 	T1_text: text = 'X'
65.3258 	EXP 	T2_text: text = '2'
65.3258 	EXP 	Gray_Square: autoDraw = True
65.3258 	EXP 	T1_text: autoDraw = True
65.4095 	EXP 	T1_text: autoDraw = False
65.4265 	EXP 	T1_Delay: autoDraw = True
66.2124 	EXP 	T1_Delay: autoDraw = False
66.2124 	EXP 	T2_text: autoDraw = True
66.4969 	DATA 	Keypress: slash
66.5179 	EXP 	New trial (rep=5, index=0): None
66.5294 	EXP 	Gray_Square: autoDraw = False
66.5294 	EXP 	T1_text: autoDraw = False
66.5294 	EXP 	T1_Delay: autoDraw = False
66.5294 	EXP 	T2_text: autoDraw = False
66.5294 	EXP 	Gray_Square2: autoDraw = False
66.5294 	EXP 	X_or_Y: autoDraw = False
66.5294 	EXP 	Gray_Square3: autoDraw = True
66.5294 	EXP 	text_3: autoDraw = True
68.3682 	EXP 	Gray_Square3: autoDraw = False
68.3682 	EXP 	text_3: autoDraw = False
68.3682 	EXP 	Gray_Square3: autoDraw = False
68.3682 	EXP 	text_3: autoDraw = False
68.3682 	EXP 	T1_text: text = 'X'
68.3682 	EXP 	T2_text: text = '2'
68.3682 	EXP 	Gray_Square: autoDraw = True
68.3682 	EXP 	T1_text: autoDraw = True
68.4685 	EXP 	T1_text: autoDraw = False
68.4858 	EXP 	T1_Delay: autoDraw = True
69.2714 	EXP 	T1_Delay: autoDraw = False
69.2714 	EXP 	T2_text: autoDraw = True
69.5392 	DATA 	Keypress: z
69.5448 	EXP 	New trial (rep=6, index=0): None
69.5551 	EXP 	Gray_Square: autoDraw = False
69.5551 	EXP 	T1_text: autoDraw = False
69.5551 	EXP 	T1_Delay: autoDraw = False
69.5551 	EXP 	T2_text: autoDraw = False
69.5551 	EXP 	Gray_Square2: autoDraw = False
69.5551 	EXP 	X_or_Y: autoDraw = False
69.5551 	EXP 	Gray_Square3: autoDraw = True
69.5551 	EXP 	text_3: autoDraw = True
71.3278 	EXP 	Gray_Square3: autoDraw = False
71.3278 	EXP 	text_3: autoDraw = False
71.3278 	EXP 	Gray_Square3: autoDraw = False
71.3278 	EXP 	text_3: autoDraw = False
71.3278 	EXP 	T1_text: text = 'X'
71.3278 	EXP 	T2_text: text = '1'
71.3278 	EXP 	Gray_Square: autoDraw = True
71.3278 	EXP 	T1_text: autoDraw = True
71.4273 	EXP 	T1_text: autoDraw = False
71.4448 	EXP 	T1_Delay: autoDraw = True
72.2297 	EXP 	T1_Delay: autoDraw = False
72.2297 	EXP 	T2_text: autoDraw = True
72.6813 	DATA 	Keypress: z
72.6869 	EXP 	New trial (rep=7, index=0): None
72.6986 	EXP 	Gray_Square: autoDraw = False
72.6986 	EXP 	T1_text: autoDraw = False
72.6986 	EXP 	T1_Delay: autoDraw = False
72.6986 	EXP 	T2_text: autoDraw = False
72.6986 	EXP 	Gray_Square2: autoDraw = False
72.6986 	EXP 	X_or_Y: autoDraw = False
72.6986 	EXP 	Gray_Square3: autoDraw = True
72.6986 	EXP 	text_3: autoDraw = True
74.6541 	EXP 	Gray_Square3: autoDraw = False
74.6541 	EXP 	text_3: autoDraw = False
74.6541 	EXP 	Gray_Square3: autoDraw = False
74.6541 	EXP 	text_3: autoDraw = False
74.6541 	EXP 	T1_text: text = 'X'
74.6541 	EXP 	T2_text: text = '2'
74.6541 	EXP 	Gray_Square: autoDraw = True
74.6541 	EXP 	T1_text: autoDraw = True
74.7538 	EXP 	T1_text: autoDraw = False
74.7713 	EXP 	T1_Delay: autoDraw = True
75.5562 	EXP 	T1_Delay: autoDraw = False
75.5562 	EXP 	T2_text: autoDraw = True
76.0085 	DATA 	Keypress: slash
76.0141 	EXP 	New trial (rep=8, index=0): None
76.0243 	EXP 	Gray_Square: autoDraw = False
76.0243 	EXP 	T1_text: autoDraw = False
76.0243 	EXP 	T1_Delay: autoDraw = False
76.0243 	EXP 	T2_text: autoDraw = False
76.0243 	EXP 	Gray_Square2: autoDraw = False
76.0243 	EXP 	X_or_Y: autoDraw = False
76.0243 	EXP 	Gray_Square3: autoDraw = True
76.0243 	EXP 	text_3: autoDraw = True
77.9472 	EXP 	Gray_Square3: autoDraw = False
77.9472 	EXP 	text_3: autoDraw = False
77.9472 	EXP 	Gray_Square3: autoDraw = False
77.9472 	EXP 	text_3: autoDraw = False
77.9472 	EXP 	T1_text: text = '#'
77.9472 	EXP 	T2_text: text = '2'
77.9472 	EXP 	Gray_Square: autoDraw = True
77.9472 	EXP 	T1_text: autoDraw = True
78.0470 	EXP 	T1_text: autoDraw = False
78.0641 	EXP 	T1_Delay: autoDraw = True
78.8494 	EXP 	T1_Delay: autoDraw = False
78.8494 	EXP 	T2_text: autoDraw = True
79.2676 	DATA 	Keypress: slash
79.2732 	EXP 	New trial (rep=9, index=0): None
79.2845 	EXP 	Gray_Square: autoDraw = False
79.2845 	EXP 	T1_text: autoDraw = False
79.2845 	EXP 	T1_Delay: autoDraw = False
79.2845 	EXP 	T2_text: autoDraw = False
79.2845 	EXP 	Gray_Square2: autoDraw = False
79.2845 	EXP 	X_or_Y: autoDraw = False
79.2845 	EXP 	Gray_Square3: autoDraw = True
79.2845 	EXP 	text_3: autoDraw = True
80.6552 	EXP 	Gray_Square3: autoDraw = False
80.6552 	EXP 	text_3: autoDraw = False
80.6552 	EXP 	Gray_Square3: autoDraw = False
80.6552 	EXP 	text_3: autoDraw = False
80.6552 	EXP 	T1_text: text = '#'
80.6552 	EXP 	T2_text: text = '2'
80.6552 	EXP 	Gray_Square: autoDraw = True
80.6552 	EXP 	T1_text: autoDraw = True
80.7550 	EXP 	T1_text: autoDraw = False
80.7722 	EXP 	T1_Delay: autoDraw = True
81.5580 	EXP 	T1_Delay: autoDraw = False
81.5580 	EXP 	T2_text: autoDraw = True
81.8583 	DATA 	Keypress: slash
81.8639 	EXP 	New trial (rep=10, index=0): None
81.8751 	EXP 	Gray_Square: autoDraw = False
81.8751 	EXP 	T1_text: autoDraw = False
81.8751 	EXP 	T1_Delay: autoDraw = False
81.8751 	EXP 	T2_text: autoDraw = False
81.8751 	EXP 	Gray_Square2: autoDraw = False
81.8751 	EXP 	X_or_Y: autoDraw = False
81.8751 	EXP 	Gray_Square3: autoDraw = True
81.8751 	EXP 	text_3: autoDraw = True
82.9458 	EXP 	Gray_Square3: autoDraw = False
82.9458 	EXP 	text_3: autoDraw = False
82.9458 	EXP 	Gray_Square3: autoDraw = False
82.9458 	EXP 	text_3: autoDraw = False
82.9458 	EXP 	T1_text: text = 'Y'
82.9458 	EXP 	T2_text: text = '1'
82.9458 	EXP 	Gray_Square: autoDraw = True
82.9458 	EXP 	T1_text: autoDraw = True
83.0285 	EXP 	T1_text: autoDraw = False
83.0456 	EXP 	T1_Delay: autoDraw = True
83.8318 	EXP 	T1_Delay: autoDraw = False
83.8318 	EXP 	T2_text: autoDraw = True
84.1488 	DATA 	Keypress: slash
84.1545 	EXP 	New trial (rep=11, index=0): None
84.1657 	EXP 	Gray_Square: autoDraw = False
84.1657 	EXP 	T1_text: autoDraw = False
84.1657 	EXP 	T1_Delay: autoDraw = False
84.1657 	EXP 	T2_text: autoDraw = False
84.1657 	EXP 	Gray_Square2: autoDraw = False
84.1657 	EXP 	X_or_Y: autoDraw = False
84.1657 	EXP 	Gray_Square3: autoDraw = True
84.1657 	EXP 	text_3: autoDraw = True
85.6203 	EXP 	Gray_Square3: autoDraw = False
85.6203 	EXP 	text_3: autoDraw = False
85.6203 	EXP 	Gray_Square3: autoDraw = False
85.6203 	EXP 	text_3: autoDraw = False
85.6203 	EXP 	T1_text: text = 'X'
85.6203 	EXP 	T2_text: text = '2'
85.6203 	EXP 	Gray_Square: autoDraw = True
85.6203 	EXP 	T1_text: autoDraw = True
85.7031 	EXP 	T1_text: autoDraw = False
85.7205 	EXP 	T1_Delay: autoDraw = True
86.5055 	EXP 	T1_Delay: autoDraw = False
86.5055 	EXP 	T2_text: autoDraw = True
86.9401 	DATA 	Keypress: slash
86.9457 	EXP 	New trial (rep=12, index=0): None
86.9565 	EXP 	Gray_Square: autoDraw = False
86.9565 	EXP 	T1_text: autoDraw = False
86.9565 	EXP 	T1_Delay: autoDraw = False
86.9565 	EXP 	T2_text: autoDraw = False
86.9565 	EXP 	Gray_Square2: autoDraw = False
86.9565 	EXP 	X_or_Y: autoDraw = False
86.9565 	EXP 	Gray_Square3: autoDraw = True
86.9565 	EXP 	text_3: autoDraw = True
88.3443 	EXP 	Gray_Square3: autoDraw = False
88.3443 	EXP 	text_3: autoDraw = False
88.3443 	EXP 	Gray_Square3: autoDraw = False
88.3443 	EXP 	text_3: autoDraw = False
88.3443 	EXP 	T1_text: text = 'Y'
88.3443 	EXP 	T2_text: text = '2'
88.3443 	EXP 	Gray_Square: autoDraw = True
88.3443 	EXP 	T1_text: autoDraw = True
88.4446 	EXP 	T1_text: autoDraw = False
88.4619 	EXP 	T1_Delay: autoDraw = True
89.2475 	EXP 	T1_Delay: autoDraw = False
89.2475 	EXP 	T2_text: autoDraw = True
89.7655 	DATA 	Keypress: slash
89.7711 	EXP 	New trial (rep=13, index=0): None
89.7825 	EXP 	Gray_Square: autoDraw = False
89.7825 	EXP 	T1_text: autoDraw = False
89.7825 	EXP 	T1_Delay: autoDraw = False
89.7825 	EXP 	T2_text: autoDraw = False
89.7825 	EXP 	Gray_Square2: autoDraw = False
89.7825 	EXP 	X_or_Y: autoDraw = False
89.7825 	EXP 	Gray_Square3: autoDraw = True
89.7825 	EXP 	text_3: autoDraw = True
91.4211 	EXP 	Gray_Square3: autoDraw = False
91.4211 	EXP 	text_3: autoDraw = False
91.4211 	EXP 	Gray_Square3: autoDraw = False
91.4211 	EXP 	text_3: autoDraw = False
91.4211 	EXP 	T1_text: text = 'Y'
91.4211 	EXP 	T2_text: text = '2'
91.4211 	EXP 	Gray_Square: autoDraw = True
91.4211 	EXP 	T1_text: autoDraw = True
91.5204 	EXP 	T1_text: autoDraw = False
91.5375 	EXP 	T1_Delay: autoDraw = True
92.3228 	EXP 	T1_Delay: autoDraw = False
92.3228 	EXP 	T2_text: autoDraw = True
92.7745 	DATA 	Keypress: slash
92.7801 	EXP 	New trial (rep=14, index=0): None
92.7914 	EXP 	Gray_Square: autoDraw = False
92.7914 	EXP 	T1_text: autoDraw = False
92.7914 	EXP 	T1_Delay: autoDraw = False
92.7914 	EXP 	T2_text: autoDraw = False
92.7914 	EXP 	Gray_Square2: autoDraw = False
92.7914 	EXP 	X_or_Y: autoDraw = False
92.7914 	EXP 	Gray_Square3: autoDraw = True
92.7914 	EXP 	text_3: autoDraw = True
94.4124 	EXP 	Gray_Square3: autoDraw = False
94.4124 	EXP 	text_3: autoDraw = False
94.4124 	EXP 	Gray_Square3: autoDraw = False
94.4124 	EXP 	text_3: autoDraw = False
94.4124 	EXP 	T1_text: text = '#'
94.4124 	EXP 	T2_text: text = '1'
94.4124 	EXP 	Gray_Square: autoDraw = True
94.4124 	EXP 	T1_text: autoDraw = True
94.4960 	EXP 	T1_text: autoDraw = False
94.5127 	EXP 	T1_Delay: autoDraw = True
95.2989 	EXP 	T1_Delay: autoDraw = False
95.2989 	EXP 	T2_text: autoDraw = True
95.7500 	DATA 	Keypress: z
95.7556 	EXP 	New trial (rep=15, index=0): None
95.7669 	EXP 	Gray_Square: autoDraw = False
95.7669 	EXP 	T1_text: autoDraw = False
95.7669 	EXP 	T1_Delay: autoDraw = False
95.7669 	EXP 	T2_text: autoDraw = False
95.7669 	EXP 	Gray_Square2: autoDraw = False
95.7669 	EXP 	X_or_Y: autoDraw = False
95.7669 	EXP 	Gray_Square3: autoDraw = True
95.7669 	EXP 	text_3: autoDraw = True
96.9869 	EXP 	Gray_Square3: autoDraw = False
96.9869 	EXP 	text_3: autoDraw = False
96.9869 	EXP 	Gray_Square3: autoDraw = False
96.9869 	EXP 	text_3: autoDraw = False
96.9869 	EXP 	T1_text: text = '#'
96.9869 	EXP 	T2_text: text = '2'
96.9869 	EXP 	Gray_Square: autoDraw = True
96.9869 	EXP 	T1_text: autoDraw = True
97.0867 	EXP 	T1_text: autoDraw = False
97.1039 	EXP 	T1_Delay: autoDraw = True
97.8899 	EXP 	T1_Delay: autoDraw = False
97.8899 	EXP 	T2_text: autoDraw = True
98.3243 	DATA 	Keypress: slash
98.3299 	EXP 	New trial (rep=16, index=0): None
98.3412 	EXP 	Gray_Square: autoDraw = False
98.3412 	EXP 	T1_text: autoDraw = False
98.3412 	EXP 	T1_Delay: autoDraw = False
98.3412 	EXP 	T2_text: autoDraw = False
98.3412 	EXP 	Gray_Square2: autoDraw = False
98.3412 	EXP 	X_or_Y: autoDraw = False
98.3412 	EXP 	Gray_Square3: autoDraw = True
98.3412 	EXP 	text_3: autoDraw = True
99.3772 	EXP 	Gray_Square3: autoDraw = False
99.3772 	EXP 	text_3: autoDraw = False
99.3772 	EXP 	Gray_Square3: autoDraw = False
99.3772 	EXP 	text_3: autoDraw = False
99.3772 	EXP 	T1_text: text = 'X'
99.3772 	EXP 	T2_text: text = '2'
99.3772 	EXP 	Gray_Square: autoDraw = True
99.3772 	EXP 	T1_text: autoDraw = True
99.4775 	EXP 	T1_text: autoDraw = False
99.4947 	EXP 	T1_Delay: autoDraw = True
100.2809 	EXP 	T1_Delay: autoDraw = False
100.2809 	EXP 	T2_text: autoDraw = True
100.6813 	DATA 	Keypress: slash
100.6869 	EXP 	New trial (rep=17, index=0): None
